size, tseq, tpar, threads
100, 0.000060, 0.005851, 4
200, 0.000207, 0.011279, 4
300, 0.000389, 0.016470, 4
400, 0.000623, 0.022209, 4
500, 0.000960, 0.027028, 4
600, 0.001361, 0.031925, 4
700, 0.001868, 0.031578, 4
800, 0.002459, 0.036545, 4
900, 0.003108, 0.039278, 4
1000, 0.003863, 0.043683, 4
1100, 0.004553, 0.048566, 4
1200, 0.005445, 0.052818, 4
1300, 0.006329, 0.056097, 4
1400, 0.007599, 0.064852, 4
1500, 0.008328, 0.066371, 4
1600, 0.009685, 0.072254, 4
1700, 0.010993, 0.076340, 4
1800, 0.012407, 0.081130, 4
1900, 0.013537, 0.088657, 4
2000, 0.015066, 0.091042, 4
2100, 0.016486, 0.095596, 4
2200, 0.018024, 0.102989, 4
2300, 0.019107, 0.110694, 4
2400, 0.020948, 0.110929, 4
2500, 0.022829, 0.117615, 4
2600, 0.024872, 0.120426, 4
2700, 0.026422, 0.128463, 4
2800, 0.028809, 0.134618, 4
2900, 0.031162, 0.140694, 4
3000, 0.032285, 0.147131, 4
3100, 0.037559, 0.151764, 4
3200, 0.037165, 0.182018, 4
3300, 0.039027, 0.161348, 4
3400, 0.041598, 0.169226, 4
3500, 0.044487, 0.173470, 4
3600, 0.047304, 0.177692, 4
3700, 0.049409, 0.187141, 4
3800, 0.052085, 0.188996, 4
3900, 0.055358, 0.197847, 4
4000, 0.058403, 0.203011, 4
4100, 0.061757, 0.215578, 4
4200, 0.063361, 0.219069, 4
4300, 0.067223, 0.220650, 4
4400, 0.070377, 0.230589, 4
4500, 0.073179, 0.235168, 4
4600, 0.076287, 0.268619, 4
4700, 0.079132, 0.248772, 4
4800, 0.081960, 0.256285, 4
4900, 0.086932, 0.264527, 4
5000, 0.089570, 0.269052, 4
5100, 0.092403, 0.275069, 4
5200, 0.098744, 0.281248, 4
5300, 0.101806, 0.289633, 4
5400, 0.104131, 0.295102, 4
5500, 0.109383, 0.312467, 4
5600, 0.113003, 0.310441, 4
5700, 0.115425, 0.316032, 4
5800, 0.120029, 0.323989, 4
5900, 0.123989, 0.335872, 4
6000, 0.129692, 0.335780, 4
6100, 0.132291, 0.346240, 4
6200, 0.137170, 0.351782, 4
6300, 0.142541, 0.358057, 4
6400, 0.146864, 0.366455, 4
6500, 0.149992, 0.381888, 4
6600, 0.154555, 0.377457, 4
6700, 0.159119, 0.385478, 4
6800, 0.163980, 0.392034, 4
6900, 0.169458, 0.405483, 4
7000, 0.172655, 0.410312, 4
7100, 0.180722, 0.414903, 4
7200, 0.187473, 0.441697, 4
7300, 0.191461, 0.438180, 4
7400, 0.196245, 0.447577, 4
7500, 0.201735, 0.450216, 4
7600, 0.205925, 0.460066, 4
7700, 0.210325, 0.462967, 4
7800, 0.216847, 0.475861, 4
7900, 0.222305, 0.485235, 4
8000, 0.228269, 0.491224, 4
8100, 0.234272, 0.499544, 4
8200, 0.238652, 0.510181, 4
8300, 0.243397, 0.513958, 4
8400, 0.253839, 0.559661, 4
8500, 0.255827, 0.529075, 4
8600, 0.265150, 0.543029, 4
8700, 0.269290, 0.548900, 4
8800, 0.274375, 0.560029, 4
8900, 0.280677, 0.569602, 4
9000, 0.290229, 0.605834, 4
9100, 0.295088, 0.589288, 4
9200, 0.306091, 0.616855, 4
9300, 0.307646, 0.614204, 4
9400, 0.317167, 0.618093, 4
9500, 0.321156, 0.625026, 4
9600, 0.327285, 0.633880, 4
9700, 0.336090, 0.651198, 4
9800, 0.359861, 0.670057, 4
9900, 0.348105, 0.664687, 4
10000, 0.355716, 0.685271, 4
10100, 0.360749, 0.681209, 4
10200, 0.368409, 0.686178, 4
10300, 0.378138, 0.699433, 4
10400, 0.384470, 0.707769, 4
10500, 0.392794, 0.720931, 4
10600, 0.400903, 0.735133, 4
10700, 0.405021, 0.737069, 4
10800, 0.411632, 0.748917, 4
10900, 0.420630, 0.752845, 4
11000, 0.429044, 0.787724, 4
11100, 0.436290, 0.777813, 4
11200, 0.450176, 0.795944, 4
11300, 0.453322, 0.797614, 4
11400, 0.463506, 0.811864, 4
11500, 0.483095, 0.834071, 4
11600, 0.487802, 0.835408, 4
11700, 0.483479, 0.844707, 4
11800, 0.494843, 0.862121, 4
11900, 0.533560, 0.879822, 4
12000, 0.533719, 0.907033, 4
12100, 0.520280, 0.903301, 4
12200, 0.525211, 0.892313, 4
12300, 0.545925, 0.902649, 4
12400, 0.548814, 0.918196, 4
12500, 0.551917, 0.928699, 4
12600, 0.560251, 0.952635, 4
12700, 0.574417, 0.972832, 4
12800, 0.579495, 0.954220, 4
12900, 0.587696, 0.961501, 4
13000, 0.595738, 0.989087, 4
13100, 0.607856, 1.017277, 4
13200, 0.618443, 0.999653, 4
13300, 0.631734, 1.016722, 4
13400, 0.642143, 1.030973, 4
13500, 0.646074, 1.051830, 4
13600, 0.657377, 1.051844, 4
13700, 0.670067, 1.060049, 4
13800, 0.690087, 1.111599, 4
13900, 0.691039, 1.089890, 4
14000, 0.697204, 1.107803, 4
14100, 0.707935, 1.110797, 4
14200, 0.714701, 1.126253, 4
14300, 0.728938, 1.138699, 4
14400, 0.743628, 1.152028, 4
14500, 0.748733, 1.149153, 4
14600, 0.758521, 1.167857, 4
14700, 0.764217, 1.179956, 4
14800, 0.774419, 1.183957, 4
14900, 0.788014, 1.212754, 4
15000, 0.793932, 1.212493, 4
15100, 0.806270, 1.222860, 4
15200, 0.815880, 1.229118, 4
